EMPIRE_BM_TECH_1	Black Market Items available at Empire tech level one.	На черном рынке доступны технологии Империи первого уровня.
MBEM02_An_Organized_Resistance.TED	Darth Vader has been sent to the planet Thyferra by the Emperor to track down the Imperial agent conspiring with the Rebels.  Tracing coded transmissions, Vader leads an Imperial assault force to the surface, hoping to catch Rebels, and more importantly his target, off guard.  	Император отправил Дарта Вейдера на Тайферру, чтобы выследить предателя, передающего информацию повстанцам. Проследив за обменом кодовыми сообщениями, Вейдер высаживает на поверхность десант, надеясь схватить врасплох мятежников - и, самое главное, неизвестного изменника.  
MBEM03_The_Pirate_Menace.TED	Boba Fett has been hired for a hefty price to aid the Empire.  He will scout the pirate defenses and neutralize their warning systems before the main fleet enters the area.  	Для помощи в этом задании Дарт Вейдер обратился к услугам наемного убийцы Бобы Фетта, лучшего из лучших. Фетт разведает оборону пиратов и отключит их системы сигнализации, чтобы основная эскадра смогла приблизиться.  
MBEM04_Space_Planet_Geonosis.TED	Grand Moff Tarkin has assigned Darth Vader to acquire the resources of the planet Geonosis.  To take full control of the planet, both space and land must be secured.  	Гранд-мофф Таркин поручил Дарту Вейдеру реквизировать на Геонозисе ресурсы для строительства Звезды Смерти. Чтобы установить полный контроль над планетой, необходимо захватить и орбиту, и поверхность.  
MBEM05_Attack_on_Mon_Calamari.TED	The Emperor believes that the fiercely-independent people of Mon Calamari will inevitably aid the Rebellion if they are allowed the choice.  The planet must be subjugated to prevent their interference.  	Император полагает, что помешанные на независимости мон-каламари встанут на сторону мятежа, если дать им такую возможность. Их планету необходимо покорить, чтобы избежать такого развития событий.  
MBEM06_Trouble_on_Kashyyyk.TED	A passionate rogue named Solo who had defected from the Empire some time ago has freed the Wookiees from their prisons.  In his irrational defiance, he is attempting to get them off-planet.  We cannot afford to lose the labor force we have established on Kashyyyk.	Буйнопомешанный контрабандист по имени Соло, который когда-то дезертировал из имперского флота, освободил вуки из тюрем. Помешательство зашло так далеко, что он хочет вывезти их с планеты. Мы не можем допустить, чтобы ценные рабы бежали с Кешиика.
MBEM09_A_New_Weapon_of_War.TED	With progress on the Death Star proceeding on schedule, the Emperor has turned his attention to other weapons.  Colonel Maximilian Veers is set to demonstrate a new ground assault weapon - the All Terrain Armored Transport.  The demonstration is to be held on Carida, home to an important Imperial training facility.  	Теперь, когда строительство Звезды Смерти идет по графику, Император удостоил своим вниманием другие новые разработки. Полковник Максимилиан Вирс должен продемонстрировать Его Величеству новый образец бронетехники - шагоход АТ-АТ. Демонстрация будет происходить на Кариде, где расположено крупное имперское военное училище.  
MBEM13_Errand_with_the_Emperor.TED	Emperor Palpatine believes that the Bothan SpyNet is ultimately responsible for leaking Imperial information to the Rebellion.  As such, he has decided to deal with the situation himself.  	Император Палпатин уверен, что шпионская сеть Ботавуи несет полную ответственность за передачу повстанцам информации, полученной от предателя. Его Величество решил нанести ботанам официальный визит...
MBEM14_Capturing_a_Princess.TED	The Bothans have informed the Emperor of where the Princess is to receive the transmissions regarding the Death Star.  A small fleet has been dispatched to Tatooine to intercept her, but an undiscovered pirate fleet has suddenly attacked.  Darth Vader must remove the pirates before the Princess enters the system, or she will escape.  	Ботаны сообщили Императору, где именно принцесса Лея должна получить шифровку с данными о Звезде Смерти.  Чтобы перехватить принцессу, на Татуин была отправлена небольшая эскадра, но на нее напали из засады пираты.  Дарт Вейдер должен уничтожить пиратов до того, как принцесса появится в систему, или она сможет скрыться.
MBEM15_The_Destruction_of_Alderaan.TED	A suitable demonstration of the Death Star’s power is necessary.  Princess Leia has unwillingly picked the target – her homeworld of Alderaan.  	Необходима наглядная демонстрация мощи Звезды Смерти. Принцесса Лея невольно выбрала мишень - свою родную планету Альдераан.  
MBEXECUTIVE_TACTICAL_DEMO	Located in the Moddell sector of the Outer Rim, this silvery gas giant planet is orbited by nine moons. The largest moon is the size of a small planet and is known as the forest moon or simply Endor. It is covered by savannas, mountains and woodlands with trees that reach thousands of meters in height. A wide range of intelligent creatures inhabit Endor, from the vicious and towering Gorax to the courageous Ewoks. The Ewoks build their sprawling villages in Endor's trees that are connected by suspended bridges, ropes and wooden platforms. Ewoks are deceptively innocuous, but are keen warriors and hunters capable of using their ingenuity and natural surroundings to their advantage.	В одной из звездных систем сектора Модделл Внешнего Круга имеется газовый гигант с девятью спутниками. Самый крупный из этих спутников размером с небольшую планету - это и есть Эндора, или лесная луна. Она покрыта саваннами, горами и лесами, деревья в которых достигают в высоту более километра. Эндор населяет несколько разумных видов, от хищных гигантов гораксов до храбрых эвоков. Эвоки строят свои поселения на деревьях и соединяют их подвесными мостами, веревками, деревянными платформами. Хотя эвоки и выглядят безобидными, они умелые воины и охотники, а также великолепные изобретатели и мастера ловушек.
MBEXECUTIVE_TACTICAL_DEMO1	A temperate planet in the Chommell Sector of the Mid Rim, Naboo is covered by thick swamps, rolling plains, and green hills. Unlike many other planets, Naboo lacks a molten core. Instead, the planet's innards are composed of a massive honeycomb structure filled with water. The planet is also home to numerous animal species and is inhabited by the peaceful Naboo and the more warlike Gungans. The Naboo typically populate striking cities such as Theed, while the Gungans dwell in exotic bubble cities hidden in lakes and swamps. Both the Naboo and the Gungans oppose the Emperor.	Планета с умеренным климатом в секторе Чоммель Среднего Круга, Набу покрыта глубокими болотами, пологими равнинами и зелеными холмами. В отличие от большинства планет, у Набу нет расплавленного ядра, его место занято массивной ячеистой структурой, заполненной водой. Животный мир богат и разнообразен, на планете проживают две разумные расы - мирные люди и более воинственные гунганы. Люди, как правило, живут в городах небоскребов, таких как Фиид, а гунганы предпочитают экзотические города под воздушными куполами в глубине озер и болот. И люди, и гунганы Набу не признают Империю.
MBRM01_Space_Planet_Kuat.TED	Unable to get to Fresia directly, Captain Antilles decides to stage a diversionary attack on the Imperial shipyards at Kuat - a massive installation that constructs all types of Imperial craft.  Normally heavily defended, the Incom nationalization ceremony has reassigned the majority of its defensive fleet, leaving the shipyard vulnerable.  Antilles hopes to cause enough damage to draw the Imperial Star Destroyer Tyranny away from Fresia, leaving their real target unguarded... .	Путь на Фрезию перекрыт, и капитан Антиллес решает предпринять отвлекающий маневр, ударив по имперским судоверфям на Куате, где строится множество имперских кораблей.  Обычно Куат хорошо защищен, но сейчас главные силы обороны отозваны на церемонию национализации 'Инкома'. Антиллес надеется устроить достаточный разгром, чтобы база на Куате была вынуждена отозвать линкор 'Тиран' с Фрезии, оставив без защиты настоящую цель повстанцев...
MBRM02_Interpreting_the_Network.TED	Undaunted by the setback in their plans to steal the X-wings, the Alliance devises a scheme to fool the Imperial sensors scattered around Fresia.  An Imperial network uplink station on Wayland seems like the ideal way to steal codes for the Imperial sensors if R2-D2 can get to it unharmed.  With the network fooled, the Alliance can slip past Fresia's defenses with the Empire none the wiser... .	Обнаружив очередное препятствие на пути к Х-крылам, Альянс разрабатывает план, как сбить с толку имперские сенсоры, разбросанные вокруг Фрезии. Имперская станция связи на Вейланде - идеальное место, чтобы взломать сеть и зарегистрировать корабли повстанцев как имперские... если R2-D2 сможет добраться до станции. Когда все будет готово, сенсоры вокруг Фрезии не будут поднимать тревогу, заметив корабли Альянса...
MBRM03_Theft_of_the_X-wing.TED	Unwilling to let the X-wings fall into the Empire's hands, some Incom scientists have provided the Alliance with the location of the prototype craft.  With nationalization only a few days away, the Alliance doesn't have a moment to spare.  Soon the Imperials will descend on Fresia and seize the X-wings for its own growing military force.  The Alliance realizes that this will not be an easy task.  The facility is heavily guarded, and it won't take long for the Empire to realize what they're up to... .	Не желая, чтобы прототипы Х-крылов попали в руки Империи, несколько ученых корпорации 'Инком' сообщили Альянсу, где хранятся прототипы. Через несколько дней 'Инком' будет национализирован, времени в обрез. Скоро имперцы высадятся на Фрезии и захватят Х-крылы себе. Понятно, что эта задача не из простых. Завод хорошо охраняется, и имперцам не потребуется много времени, чтобы понять, что их провели...
MBRM04_Kessel_Rescue	The infamous spice mines of Kessel are death sentences to any prisoners of the Empire sent to work there.  Receiving word that Incom's scientists and other Rebel supporters are being transferred to the facility, the Alliance wastes no time in staging a rescue before the prisoners can reach the mines.  Using the ion attack ability of the Y-wings, the Alliance can disable the shuttles, then Captain Antilles in the Sundered Heart can swoop in and liberate the prisoners before they reach Kessel!	Знаменитые рудники Кесселя стали смертным приговором многим, кого Империя отправила сюда на каторгу. Получив информацию, что ученых из 'Инкома' и других сторонников Восстания переводят на Кессель, Альянс немедленно принимается планировать спасательную операцию. С помощью ионных пушек на Y-крылах повстанцы могут обездвижить шаттлы, после чего капитан Антиллес возьмет узников на борт 'Разбитого сердца'. Шаттлы не должны дойти до Кесселя!
MBRM06_Imperial_Liberation	Intercepting communications chatter from a developing situation on Kashyyyk, the Alliance learns of a raid being led on Wookiee containment facilities the Empire has established.   Wookiees are being released from confinement and arming themselves.  The Alliance must act to assist in any action that would free citizens from the clutches of the Empire.	Перехватив имперские переговоры о чрезвычайном происшествии на Кешиике, лидеры Альянса узнали, что некто предпринял рейд на имперские тюрьмы, в которых держат рабов-вуки. Вуки удалось освободить и вооружить. Необходимо немедленно принять меры, чтобы помочь вуки в борьбе против Империи.
MBRM07A_Rescue_Falcon	No sooner does Han get away from the Alliance than he's back in hot water with the Imperials.  Caught in a Star Destroyer's tractor beam while running illicit goods to Corulag, it's only a matter of time before his engines burn out and the Empire boards his ship.  The Alliance moves quickly to rescue him in the hopes of acquiring his services for a mission that only a smuggler could handle... .	Не успел Хан Соло забыть о последнем задании Альянса, как имперцы снова взяли его в клещи. Он перевозил контрабандный груз на Корулаг и попал в притягивающий луч 'Разрушителя'. Пройдет совсем немного времени, двигатели 'Сокола' перегорят и имперцы возьмут его на абордаж. Повстанцы предприняли спасательную операцию, чтобы вытащить его и заручиться его поддержкой в деле, которое по плечу только контрабандисту...
MBRM07_Highest_Bidder	Dealing with the seedy underworld is always a risk, and this time the fate of the Alliance hangs in the balance.  A disgruntled associate of one of the Alliance's contacts has stolen critical data about their dealings, and is offering it up to the Empire... for a price.  	Вести дела с представителями преступного мира всегда рискованно, и сейчас судьба Альянса висит на волоске. Недовольный сообщник одного из агентов Альянса украл сверхважные данные о его операциях и предлагает их Империи... за плату.
MBRM08A_Cargo_Woes	Typically, Han Solo would be stealing things from depots like this one - not adding things to them.  This particular staging area resupplies fleets from all over the sector, and traffic through it is heavy.  There are more Imperial ships passing through here per day than most systems will see in a year.  Cargo containers bound for a multitude of systems float around the facility, easy pickings for those that know how to circumvent the security.  The Alliance hopes that Han is one of those in the know.  	Вообще-то специальность Хана Соло - красть грузы с подобных складов, а не подбрасывать туда что-то. Этот склад служит для снабжения флотов по всему сектору и гудит, как улей. Через него ежедневно проходит больше кораблей, чем большинство систем видят за год. Грузовые контейнеры, предназначенные для отгрузки в самые разные системы, свободно перемещаются по складу - легкая добыча для тех, кто знает, как обойти систему безопасности. Альянс надеется, что Хан из тех, кто знает.
MBRM09_Borrowed_Time	Following the trail of information on this new Imperial superweapon, the Alliance has pinpointed one of Grand Moff Tarkin's research stations as a likely source of further information.  The cargo container Han Solo planted the EMP on has reached its destination.  Now, the Alliance assembles its fleet and gets ready to assault the station.  Shortly before entering the system, the Alliance detonates the EMP device attached to the cargo container.  Hopefully there will be enough time to search the station before the Imperial fleet responds... .	Стремясь добыть как можно больше информации о новом супероружии Империи, повстанцы вышли на одну из научных станций гранд-моффа Таркина. Грузовой контейнер, в который Хан Соло подбросил бомбу, уже на станции. Альянс собирает флот и готовится к штурму. Прямо перед входом в систему повстанцы взрывают электромагнитную бомбу в контейнере. Остается надеяться, что смельчаки успеют обыскать станцию, пока имперцы не очнулись...
MBRM09_Lost_and_Found	Han Solo and Chewbacca have once again found themselves performing yet another dangerous assignment for the Alliance.  This time, it's infiltrating a heavily fortified Imperial city… on foot.  Their goal is to find the schematics that the Empire has annexed.  Recovering these schematics may just be what the Alliance needs to get the Mon Calamari back into the fight.  Han and Chewie must work together to navigate the city, avoid or neutralize the Imperials encountered, and reach the supply dock, where they can recover the plans and steal a ship to get them off-world.	Хан Соло и Чубакка снова выполняют опасное задание для Альянса. На этот раз их миссия - пробраться в хорошо охраняемый имперский город... пешком. Они должны найти чертежи, похищенные имперцами. Если добыть эти чертежи, Мон-Каламари открыто выступит на стороне Восстания. Хан и Чуи должны вместе пробраться в город, обойти или нейтрализовать имперцев, добраться до склада, найти чертежи и угнать корабль, чтобы улететь с планеты.
MBTM00_GALACTIC	Introduction to Galactic Mode	Знакомство с галактическим режимом
MBTM00_Galactic	Introduction to Galactic Mode	Знакомство с галактическим режимом
MBTM01_GAINING_GROUND	A platoon of Rebel infantry has been dispatched to locate a lost patrol squad that was last seen performing a routine perimeter sweep.	Взвод пехоты повстанцев отправлен на поиски патруля, который пропал, совершая обычный обход периметра.
MBTM01_Gaining_Ground	A platoon of Rebel infantry has been dispatched to locate a lost patrol squad that was last seen performing a routine perimeter sweep.	Взвод пехоты повстанцев отправлен на поиски патруля, который пропал, совершая обычный обход периметра.
MBTM02_SCRAMBLE	After escaping the Imperial assault on Kashyyyk, the Rebel Alliance must reinforce their holdings at several, nearby planets.	Спасшись после имперской атаки на Кешиике, Альянс должен укрепить свои позиции на нескольких близлежащих планетах.
MBTM02_Scramble	After escaping the Imperial assault on Kashyyyk, the Rebel Alliance must reinforce their holdings at several, nearby planets.	После отступления с Кешиика, атакованного имперцами, Альянс должен укрепить свои позиции на нескольких соседних планетах.
MBTM03_EMPIRE_AT_WAR	After being defeated on the surface of Kashyyyk, an Imperial Officer now attempts to uncover the source of this new resistance movement.	Потерпев поражение на Кешиике, местный военный губернатор пытается обнаружить очаг нового движения сопротивления.
MBTM03_Empire_at_War	After being defeated on the surface of Kashyyyk, an Imperial Officer now attempts to uncover the source of this new resistance movement.	Потерпев поражение на Кешиике, местный военный губернатор пытается обнаружить очаг нового движения сопротивления.
MBTM04_IMPERIAL_NOOSE	Following the successful elimination of the Rebel space station above Kashyyyk, an Imperial Officer desperately attempts to stamp out all remaining Rebels threatening his position.	После уничтожения космической станции повстанцев на Кешиике имперский военный губернатор стремится уничтожить остатки сил повстанцев, угрожающие его карьере.
MBTM04_Imperial_Noose	Following the successful elimination of the Rebel space station above Kashyyyk, an Imperial Officer desperately attempts to stamp out all remaining Rebels threatening his position.	После уничтожения космической станции повстанцев на Кешиике имперский военный губернатор стремится уничтожить остатки сил повстанцев, угрожающие его карьере.
MBTM05_IMPERIAL_POLICY	Imperial forces have located a Rebel base on Ryloth, and are poised to launch a full assault on the Rebel position.  	Имперские войска обнаружили базу повстанцев на Рилоте и готовы начать штурм.
MBTM05_Imperial_Policy	Imperial forces have located a Rebel base on Ryloth, and are poised to launch a full assault on the Rebel position.  	Имперские войска обнаружили базу повстанцев на Рилоте и готовы начать штурм.
MBTM06_LAND_MULTIPLAYER	Teaches the basic game play behind the Land Skirmish game modes.	Знакомство с основами игрового процесса в режиме наземной схватки.
MBTM07_SPACE_MULTIPLAYER	Teaches the basic game play behind the Space Skirmish game modes.	Знакомство с основами игрового процесса в режиме космической схватки.
MBUM01_A_CRIMELORD_UNLEASHED	Jabba used his Imperial contacts to get me thrown in prison. I've been in long enough to gain control of the gangs inside, at the cost of my own Zann Consortium organization almost totally destroyed on the outside. I've ordered my lieutenant, Urai Fen, to get a fast ship here and he's three days out. I'm going to escape and exact my revenge on Jabba and the Empire.	Джабба задействовал свои имперские связи, чтобы бросить меня в тюрьму. Я пробыл там достаточно, чтобы подчинить зеков себе - а в это время мой собственный Синдикат чуть не развалился, оставшись без моего присмотра. Я приказал моему лейтенанту Ураи Фену привести мне быстрый корабль, но его нет уже три дня. Я хочу ускользнуть и обрушить на Джаббу с Империей всю мощь моей мести.
MBUM02_REMNANTS_OF_THE_DEATH_STAR	It seems the Rebels went and blew up the Emperor's Death Star while I was busy rebuilding in another part of the galaxy.  Lucky for me the corpse is relatively fresh, and the scavengers have yet to pick it clean.  If the crew ejected the data pods, and if I can recover them before the Rebels, they just might contain information on the Emperor's hidden vaults....	Похоже, повстанцы пришли и раскурочили императорскую игрушку, пока я был занят восстановлением Синдиката в другой части галактики. К счастью для меня, труп еще теплый и необглоданный. Если команда выбросила капсулы с данными, и если мне удастся найти их раньше повстанцев, и если там есть информация о секретных хранилищах Императора...
MBUM03_COMMUNICATIONS_BREAKDOWN	Jabba the Hutt found a way to break into Tyber's communications system.  Luckily Tyber's techs managed to trace the signal to a relay station on Saleucami.  Jabba needs to be taught a lesson. I will use my strike team to establish a beachhead, so that our land forces can take Saleucami out from under him.	Хатт Джабба нашел способ подслушивать переговоры Тайбера. К счастью, техники Тайбера отследили сигнал до ретранслятора на Салейками. Нужно преподать Джаббе урок, высадив десант и отобрав у него Салейками.
MBUM04_VISIONS_OF_THE_PAST	Jabba the Hutt has uncovered an old Clone Wars era factory built by the Geonosians that was never found by the old Republic.  If I can get there first, I can take a large prize out of Jabba's slimy hands, and gain a lot of firepower in the bargain.  Urai has gone ahead to scout while I gather some reinforcements.  What could possibly go wrong?	Джабба обнаружил старую фабрику времен Войны клонов, построенную геонозианами и не попавшую в поле зрения старой Республики.  Если я смогу добраться туда первым, я вырву из склизких лап Джаббы жирный кусок и заодно увеличу свою огневую мощь. Ураи отправился на разведку, а я пока собираю подкрепления. Что может пойти не так?
MBUM06_DARK_ALLY	I'm landing on Dathomir to search for a Dark Force user to unlock the Sith Artifact. I'm surprised to see the planet under strict Empire control. It seems there are many secrets here the Emperor himself wants to keep hidden. It will be interesting to see what Urai and I can find....	Я приземляюсь на Датомире, чтобы найти адепта Темной стороны Силы, который сможет открыть артефакт ситхов. Странно - планета под строгим контролем Империи. Похоже, что здесь довольно секретов, которые Император хочет сохранить в тайне. Интересно, что мы с Ураи сможет отыскать…
MBUM07_CLOUD_CITY_CONFLICT	Darth Vader commands the forces on Bespin. I'm hoping to plant clues in the raid for the gas to make the Empire think Prince Xizor of the Black Sun is responsible. I want the gas for the ships I can build with it. Also the code breaking IG-88 can do for me is vital to the completion of my plan....	Имперскими силами на Беспине командует Дарт Вейдер. Я надеюсь оставить след, ведущий от рейда за газом прямо к Ксизору. Пусть имперцы думают, что во всем виноват главарь Черного Солнца. А газ мне пригодится для новых кораблей. И взлом сети, в котором так силен IG-88, также важная часть моего плана...
MBUM08_REBEL_EVICTION	I need to set up a new ship production facility in the Vergesso Asteroids, but the Rebels already have a foothold in that location.  The Rebellion is easily frightened by a show of Imperial force, so I've sent Urai in some stolen Imperial ships to deal with them.  I get the territory and I put the blame on the Empire to deflect any fallout - a flawless plan!	Мне нужно построить на астероидах Вегрессо судоверфь, но повстанцы уже наложили лапу на этот участок космоса.  Альянс несложно напугать, показав ему имперцев, так что я послал туда Ураи с несколькими украденными у Империи кораблями - пусть разберется. Я получу территорию, а обвинят Империю, так что все последствия - за их счет. Безупречный план!
MBUM09_BAITING_THE_HOOK	According to my plans I'm meeting the Imperial contact on Carida, supposedly to sell the Sith artifact.  I'm naturally expecting a double cross by everyone I'm meeting. After all, it's what I would do if I were meeting them.  But a trap you know about is one you can use to your advantage....	В точности по плану, я встречаю доверенное лицо Императора на Кариде, якобы для того, чтобы продать артефакт ситхов. Конечно, наверняка это подстава. По крайней мере, если бы я назначал встречу, я бы устроил ловушку. Но если знать о ловушке, можно использовать ее в своих интересах…
MBUM11_RAIDERS_OF_THE_LOST_HOLOCRON	Urai, Silri, and I are raiding the Imperial Archive on Coruscant. I'm going to get the Emperor's personal passkey. I realize fully that Silri is going to be a problem, but for now I'll just watch her closely and make sure she does my bidding….	Ураи, Силри и я отправляются в рейд в имперский архив на Корусканте. Мне нужен личный ключ Императора. Я хорошо понимаю, что Силри может создать проблемы, но пока я просто изучу ее поближе и проверю, будет ли она держать мою сторону…
MBUM12_THE_EMPERORS_NEW_WEAPON	The Emperor's passkey is the key to unlocking my prize - the Emperor's vaults and enough wealth to gain control of the galaxy's criminal underworld.  All I have to do is fight my way through the remaining Imperial ships, not to mention fending off whatever Rebel forces come to investigate...	Императорский ключ доступа открывает мне путь к заветной цели - к имперским бункерам, где хватит добра, чтобы наложить руку на весь криминальный мир галактики. Осталось всего лишь это пробиться через остатки имперского флота... ах да, еще и отогнать чересчур любопытных повстанцев…
MB_LAND_PLANET_ALZOCIII_INTIMIDATION	The food Commissioner is an important behind the scenes power broker on the Planet. With him in our control, mining production levels can be changed at the whim of the Zann Consortium.  Our Defiler has assembled a strike team of our reservists to accomplish our goal.  	Здешний комиссар по снабжению - важный закулисный воротила. Контролируя его, мы сможем управлять объемами добычи кристаллов одним движением пальца. 
MB_LAND_PLANET_ANAXES_INTIMIDATION	The fleet commander Flankar is located on Anaxes. Eliminating his compound guards and wounding him will spread fear among the many ship captains throughout the galaxy.  Our Defiler has assembled a strike team of our reservists to accomplish our goal. 	Командующий флотом живет на Анаксисе. Уничтожив охрану и покалечив его родственников, мы сможем распространить свое влияние на всю галактику. Наш Стервятник собрал команду резервистов, чтобы заодно освежить их навыки.
MB_LAND_PLANET_BESTINE_KIDNAPPING	Massive ship yards fill the oceans of Bestine. Kidnapping commander Falan will bring the entire planet and its yards to their knees. The secrets that man holds are galaxy wide and soon to be ours.  Our Defiler has assembled a strike team of our reservists to accomplish our goal. 	В океанах Бестина разбросано множество судоверфей. Похищение командующего имперской верфью поможет поставить на колени всю планету. Скоро мы узнаем все его секреты - а это галактический размах! Наш Стервятник собрал команду резервистов, чтобы заодно освежить их навыки.
MB_LAND_PLANET_BOTHAWUI_INTIMIDATION	Intimidating Galactic Senator Polo Se'Lab puts important information and the political power of many Bothawui connected planets into the hands of the Zann Consortium.  Our Defiler has assembled a strike team of our reservists to accomplish our goal. 	Запугав галактического сенатора Поло Се Лаба, Синдикат Занна получит важную информацию, а также влияние в политике множества планет, связанных с Ботавуи. Наш Стервятник собрал команду резервистов, чтобы заодно освежить их навыки.
MB_LAND_PLANET_BYSS_KIDNAPPING	Byss, an extremely dangerous world, prized by the Emperor. Taking planetary governor Kirith can reap great rewards in credits.  Our Defiler has assembled a strike team of our reservists to accomplish our goal. 	Исключительно опасная планета. Ее очень ценит Император. Захватив в заложники губернатора Кирита, можно получить кучу денег. Наш Стервятник собрал команду резервистов, чтобы заодно освежить их навыки.
MB_LAND_PLANET_CARIDA_KIDNAPPING	Capturing Admiral Dalken Hol will allow us free reign to do business around the Imperial Academy.  Our Defiler has assembled a strike team of our reservists to accomplish our goal. 	Захватив адмирала Далкена Холя, мы сможем многое узнать об имперцах и их планах в галактике. Наш Стервятник собрал команду резервистов, чтобы заодно освежить их навыки.
MB_LAND_PLANET_DANTOOINE_INTIMIDATION	With small, scattered settlements around the planet, it should be easy to convince the locals to support the Consortium.  Our Defiler has assembled a strike team of our reservists to accomplish our goal. 	Люди разбросаны по планете. Поселения невелики. Их будет легко убедить сотрудничать с Синдикатом. Наш Стервятник собрал команду резервистов, чтобы заодно освежить их навыки.
MB_LAND_PLANET_FELUCIA_TUTORIAL	Located in the Outer Rim, Felucia was once a major holding of the Commerce Guild. A challenging world to colonize, Felucia was a world teeming with fungal life-forms and immense primitive plants. Much of the planet has a fetid, humid landscape overgrown by forests of bizarre wilderness. Many of the indigenous plants aggressively defend themselves. Sharp barbs, shooting spores, and poisonous defenses scuttled early attempts at agriculture. The hardships of settlement produced few cities of note on Felucia, including Kway Teow, Har Gau and Niango. Felucia has become an exotic retreat for the wealthy and the poorly paid citizens who support their extravagant whims. 	Фелуция, планета Внешнего Круга, когда-то была оплотом Торговой Федерации. Колонизировать Фелуцию было очень непросто. На этой планете господствуют грибковые формы жизни и примитивные растения. Влажный климат, зловонная атмосфера, дикие леса из самых причудливых растений - все это не способствовало заселению. Большинство видов местной флоры агрессивно обороняются от любых опасностей. Острые шипы, стреляющие поры и ядовитые испарения на корню загубили все первые попытки земледелия на планете. Из-за этих трудностей на Фелуции очень мало крупных городов. Самые заметные среди них - Квай Теу, Хар Гау и Нианго. Со временем Фелуция стала экзотическим курортом для богачей, которым бедное местное население готово угождать во всем.
MB_LAND_PLANET_HONOGHR_INTIMIDATE	This will be a true test of Fen's powers. There's a need to go on planet and bribe the Noghri Death Commandos away from the pay of Darth Vader. By carefully taking the time to change the alliance of a small group of these powerful commandos, great rewards can be obtained.  Our Defiler has assembled a strike team of our reservists to accomplish our goal. 	Фену придется показать все, на что он способен. Необходимо отправиться на планету и перекупить асассинов ногри у Дарта Вердера. Если потратить время и уговорить эту небольшую группу воинов сменить хозяев, мы будем в огромном выигрыше. Наш Стервятник собрал команду резервистов, чтобы заодно освежить их навыки.
